id,time,description,mcc,originalMcc,amount,operationAmount,currencyCode,commissionRate,cashbackAmount,balance,hold,receiptId
ZTmE46SLVZ4zRL1z,1593154370,Сільпо,5411,5411,-9345,-9345,980,0,93,682721,false,9CA0-5B00-M20C-8AX8
kSmQQZ_Uni2Jcl07,1593109583,WOG,5541,5541,-76470,-76470,980,0,764,692066,false,T002-4174-K468-C486
8Sbs7LozL44hKFhF,1593108775,MAGAZYN 1163,5499,5499,-10770,-10770,980,0,107,768536,false,X756-KA97-24HK-9C2E
ZXrGPGZ81K2j4wei,1593106994,Apteka50PHarmavin,5912,5912,-4986,-4986,980,0,0,779306,false,3B52-7EXH-M163-828H
-LhlN7hLWuFr6I60,1593074279,"Киевстар
+380982735967",4814,4814,-10000,-10000,980,0,0,784292,true,AHA7-61PH-8APC-627P
kWwOgllD0CYUPDNO,1593017405,Grand Pizza And Cake,5499,5499,-2970,-2970,980,0,29,794292,false,08B3-6PM5-MP1P-79H8
HlsnJJZGZ0q-ekXp,1593017238,Гранд,5499,5499,-4550,-4550,980,0,45,797262,false,7B83-80E4-6H30-599B
nBjbd9q2inKe4aBA,1592934826,Корона,5411,5411,-6049,-6049,980,0,60,801812,false,38H9-2841-260B-5724
Y_8zh3YHdoYJsrfO,1592850146,Grand Pizza And Cake,5499,5499,-38984,-38984,980,0,389,807861,false,4PA3-C4BX-7C40-BK38
Ij8jh_HBQnhywRgi,1592849376,Гранд,5499,5499,-4550,-4550,980,0,45,846845,false,A841-A09P-M351-ME99
cfq6F2nePvLziBnG,1592740091,Megasantehnika,4900,4900,-40000,-40000,980,0,0,851395,false,7K59-4T4H-C46E-1B78
KLpsCIYPVJUYIGit,1592668764,METRO,5499,5499,-42735,-42735,980,0,427,891395,false,5P9A-94K3-115M-CHKM
qgWTv4bOORGlfMgn,1592648544,ГРОШ,5499,5499,-11976,-11976,980,0,119,934130,false,HM0A-X8H8-CM8X-P26P
N2eXSnuW4fmlKMeh,1592597001,Сільпо,5411,5411,-24124,-24124,980,0,241,946106,false,XCAP-1MP9-XP8X-C3PB
JtZBNziEM5NEnQGE,1592596168,METRO,5499,5499,-34381,-34381,980,0,343,970230,false,PH3A-K58E-T029-T62A
